X;Y
22,5488736;10,5488782
-9,3630655;19,4540655
22,4651494;11,4485864
10,1440087;26,4599009
24,4550410;11,7706053
23,4165622;10,4966986
-11,3746062;19,0001931
23,3914654;12,7753163
9,2682017;27,1755096
24,1268391;9,9119573
24,1240872;11,0255387
21,3783149;11,1910466
22,0557700;11,8709001
22,9760962;12,0183198
24,2666585;10,6864432
-12,6092294;19,7316118
-10,9278841;17,3813016
25,0222339;10,4181938
-10,1380279;19,6208689
23,7976271;10,6137541
25,2512183;10,6710547
25,5895040;11,9217462
-11,4047514;19,9172668
-10,5242059;15,5514049
-12,2129436;17,9466100
-12,4496885;17,4376874
-14,5893774;17,3954152
23,8642252;11,3507507
7,7383791;25,6646975
24,0703857;10,6736336
10,2084322;24,6375167
-12,0633518;17,2870568
22,2106011;11,2656044
23,2242848;10,1883653
-11,0168189;17,0229873
9,8104738;25,2587288
22,0945491;11,7827711
22,0827747;11,1387774
-11,8239889;18,2258448
-13,0648483;20,1385087
7,7387000;25,5696101
22,3916908;12,2580649
-13,0548063;17,6170653
25,5430386;10,7484923
24,6501725;9,7880720
-9,9333838;16,3524705
-10,7173980;18,8540577
-11,9867225;17,8744167
22,7493763;10,2120346
22,9553285;10,9371923
23,2700398;11,2523313
22,3663087;9,7317333
-10,8882529;17,6823602
-12,3673454;17,0419096
8,9721963;24,6830670
-11,1830567;17,0556855
-10,5881579;16,4308953
8,2506111;23,4993947
22,9598221;10,1934219
9,1803738;26,5668444
23,6407159;9,6464651
10,0992705;25,0303519
22,4467503;11,6138254
22,2663229;10,4417857
22,2527380;9,9286625
22,5335369;10,3003241
9,7778069;24,0233141
22,2627768;10,1214649
22,4730410;10,7855913
-10,6520664;18,2017026
22,4141888;13,1455803
24,1619471;10,3248273
22,5014455;10,7301765
24,9151606;11,5272667
-12,3308613;16,5724873
25,9829754;11,9609887
8,6345689;26,0276985
22,3941864;10,9166666
23,0675244;9,9316508
23,0411668;11,9582349
-12,3774884;18,1876805
22,1236899;10,7454918
24,6181500;9,9062441
22,4663515;10,6348638
25,0360385;11,5136149
-12,3352587;19,1747899
21,8530157;11,0980107
24,3249603;10,8988004
24,0300094;8,5368711
-11,9953738;17,8390319
24,3218896;10,7444151
-12,9990374;19,0828306
-10,8375555;16,8876588
7,6581803;26,9553985
23,0760093;11,6948097
24,5984876;12,0951306
8,9005916;25,1125460
-11,3683380;16,7042199
24,3126439;10,4700141
9,9820351;26,1310179
-11,0229953;15,4397278
11,6493655;25,4010366
22,1446985;11,6532367
24,4844954;11,5461074
-12,1699209;19,4301571
22,8426188;10,6181724
-12,2367504;17,2693488
24,2333610;10,2780160
23,1603322;11,7007839
24,9927555;10,2306208
8,8665598;24,8473810
22,6521310;12,4331825
21,8095724;11,7987642
-11,2247772;17,0828606
8,4758390;25,3388029
-11,7923232;21,1404345
24,2462506;11,0209213
10,3990879;26,3868985
21,0075846;11,7892140
23,4888080;10,2653467
22,5684287;10,0249549
9,0541513;28,4923657
-12,2831824;18,9865399
23,6583047;9,3676955
9,7341651;25,2892444
-11,9535624;19,1631061
24,2425258;11,1077179
23,0010178;11,8416468
-13,4683338;18,8798853
10,5125025;26,6338857
-11,0380659;18,4729126
23,6411758;12,2584451
23,2988796;10,1386848
7,8391024;26,2430738
23,8313644;11,0243130
9,5928304;24,3816898
23,6366866;13,0556720
25,2128432;12,7397449
21,8095787;10,0976522
24,7878516;12,3470762
9,7706502;25,5023890
-11,7901380;19,1105856
-12,1872643;16,4638106
-11,3016624;19,4018339
9,7174006;26,4407395
9,3731383;26,2730617
24,4875493;10,5577892
10,7968850;25,0903195
23,3715711;9,7911720
23,2146794;11,0649619
22,6279673;11,6538705
21,5213881;10,2009857
22,7171957;11,9839562
10,8239449;24,8260626
22,2545526;9,9810825
23,5918141;12,5080070
9,0966968;24,2311214
22,2166314;9,2354359
-9,8883906;19,2540689
22,5028743;11,6260153
21,5286190;10,1379702
8,7562440;25,7513261
-12,2414156;21,1790243
24,0264630;9,5949551
10,6133748;25,6121311
21,7476923;11,0142871
23,1181070;12,3360940
22,6797858;12,6469654
23,4426221;11,5757374
22,5629204;12,7098809
23,5105626;11,2182478
10,0503052;25,9448367
-13,3466471;17,5101797
22,4388944;9,5590119
21,2574103;11,1392061
-11,5838967;19,3628911
-11,3535403;15,9061310
9,7860472;26,3838409
22,0765345;9,2465468
21,9265200;11,4078611
23,9499844;10,5055011
9,0504028;26,6610923
23,1449550;9,9420965
-12,4933248;17,2230919
-11,1318191;18,6520792
-11,7160213;18,9959478
22,9427986;11,0238465
22,9080234;12,2096367
8,8022897;24,3310644
22,1122844;12,5781076
-12,3555397;17,1460478
23,4844481;12,7326771
9,5299758;25,2477027
-11,3117707;17,5093071
-12,2785658;18,9079222
22,0103748;11,0849055
22,5410521;10,4847301
24,9536161;10,5785040
21,8546670;11,2466635
10,4078471;27,4316195
-11,3488399;17,1421094
24,0196804;11,0854114
22,4177318;9,6499721
8,5980955;24,7101258
-11,1217996;17,2693613
-11,6897178;20,0232850
9,5256741;26,0897775
23,0041176;10,6488489
-11,4390194;16,2476564
21,8286107;10,2001383
24,3792733;11,2882568
21,0701473;11,5145684
23,0435123;12,3044794
-11,9812056;17,0255344
-11,3557987;16,3195885
23,8075845;9,6342540
24,4241129;8,7160016
-10,9051202;18,7042025
23,5803078;10,5177548
-12,3807869;16,5238900
9,4788188;25,9428659
23,9141190;11,8829034
-11,5357605;18,2190589
-9,9742418;18,5052636
23,8002265;9,3170721
-9,8200194;18,4257173
-11,8119310;17,4065058
8,3899945;26,8570713
22,6592923;9,9175267
22,8633517;12,3365196
24,5203910;13,1441844
22,2358633;9,9395183
22,9808821;10,8289053
-12,2575672;17,0231943
23,0157367;12,3455339
8,3245301;25,2777894
24,5332847;12,6602906
-11,7433340;16,5616687
-12,8080123;18,0789128
23,1589672;11,2897907
23,9713064;11,6769123
-12,6849118;20,8995370
10,1300820;24,9617150
8,3429182;26,1468003
10,0858550;26,3131026
24,0453849;10,6041785
22,8902992;11,5832765
22,0878101;12,4721912
22,3521408;12,8068504
-11,1507786;16,1941115
8,5304780;25,8127659
24,4010422;11,7194804
22,9720201;11,2094793
20,9217110;12,0666575
9,5539479;26,6005726
23,5258310;10,1865844
20,9722955;12,6755642
7,9345565;25,4736785
-12,4619761;16,9802245
23,1232545;12,1601672
-9,6673459;17,9100494
-13,1547070;17,0889311
10,1886065;26,9874466
-11,8527081;19,1772747
21,8439314;11,7880938
21,7802409;10,0996909
8,3772524;28,4835106
-11,8504721;17,3692651
23,4057922;9,4042246
23,4168584;11,4873771
23,3255990;11,8820364
23,4907058;11,1547324
22,9279740;9,9935947
10,9635830;25,1986899
21,9596598;11,2462280
23,2266522;11,6007805
21,3509223;12,3193869
-11,0216623;17,7053481
-12,1012120;20,1696097
-11,5810030;18,5649100
-11,2879573;18,3284240
24,7617699;10,6068858
-12,7969222;20,5314070
9,4557569;26,3505637
23,8179491;12,5754337
-12,1941685;16,6945926
-11,8529140;17,9232548
-11,7634617;18,4346116
-11,3191193;19,0390068
23,3138268;11,0819802
23,7846117;11,4533143
-11,1549048;19,4234823
-10,6651126;20,4561728
-11,8531470;17,6372880
7,7180737;26,0596402
9,5808442;25,0602808
22,9120692;8,4594450
23,3862415;12,1943224
9,8547538;26,2046944
10,0872123;23,9950196
22,8514113;11,7254013
9,8901323;26,0591795
-13,6828591;18,1229875
22,5956902;11,6536191
-9,1594565;18,3717715
25,2293599;12,0913237
22,4344770;9,2958612
-11,4448565;16,6680945
23,0672294;9,8900197
-11,6826953;17,5800235
-13,0658368;18,8974081
23,6471312;11,1599187
-11,6209119;19,1104560
24,2181271;11,4713102
22,1328438;11,5708652
10,6669037;25,3272579
23,0962932;10,4050428
-10,1571702;19,7073423
-13,4006550;16,9233483
-10,8641584;17,9082798
21,4688533;12,3232909
22,6957895;10,5674353
22,6791777;10,1621942
-11,4828778;19,1246697
10,2222173;26,5681518
-12,3171774;19,3198519
23,8000209;12,2900516
-11,3575043;15,4328351
11,0494166;26,2704542
22,2991161;8,8812429
8,7100639;25,4598366
10,4501118;25,8816918
-13,0890940;19,5344894
-12,4671008;17,9597801
-12,7833631;20,2259464
24,6304399;9,6243482
9,9003264;27,7545095
22,9193730;11,8060668
-10,1847761;19,7351887
9,1425792;25,5483021
9,3320672;25,8782376
24,0805784;11,5101403
-12,8712147;17,4022197
22,7659196;10,9510943
-11,6801077;18,8879161
22,4074201;10,8786850
-12,8704124;15,5599167
-14,5188389;19,2102146
-11,9832895;19,4661201
22,0881461;12,5932905
23,7932328;11,6006378
23,0096030;11,2925607
23,8184068;11,6661232
24,1620763;10,3230556
22,8635643;10,7592877
-11,0111145;17,8856776
23,2547457;12,3992063
20,9378113;10,2323073
21,9220482;11,0829552
-11,2214315;18,4241788
-11,3854464;16,2312829
21,1428065;11,2223971
-12,4398445;17,8317270
-12,4957747;19,1413083
20,9615425;11,1497003
-11,4648140;19,3841903
-11,9501760;16,7194436
21,8093836;12,2595064
23,6899989;11,5244369
-11,4185991;19,0291482
8,5107052;25,4917133
23,4737116;10,9233376
24,8767605;12,2163833
9,1294029;23,3871372
22,3724585;11,3061161
11,0188174;25,0155739
23,1945994;12,3230562
-11,5122065;18,4996528
23,4397596;11,6007186
8,6487143;24,3792140
23,8570115;11,6367397
-11,9162246;19,0318358
22,2496010;10,6816347
-11,8673063;17,4850045
9,6163768;26,0157688
23,1161811;9,8803571
9,1346987;25,8027182
9,0149015;27,6431233
-11,4925469;16,7034442
-12,1653270;17,5119334
22,3427769;12,4673042
-11,6729450;18,3543221
22,5963031;10,4913241
-11,5436760;18,6508557
21,8793275;11,3947415
9,5823736;25,7658654
11,0753304;27,1313845
22,8082922;12,3821044
23,5098782;10,4562604
8,5034184;25,2908693
22,8981939;11,6343101
22,7019657;12,7933298
-10,9398051;19,7465096
11,5911769;24,5476413
-11,7575925;17,0370361
9,4851691;26,7110590
23,4425830;10,2272682
-13,3797419;17,6105055
8,7899849;24,2334161
23,6372909;10,5595263
24,5946271;11,6202309
23,7041178;10,0916441
24,5149995;12,0584312
21,7765978;12,5728213
-11,6291417;18,5915691
7,1484804;25,4528364
10,2015654;26,0953489
23,3710007;10,3043367
9,0025077;24,0001255
9,9519253;26,1819804
22,7867862;11,9071329
23,4926877;8,9085857
9,4786160;24,5268917
23,6355497;12,6941606
10,2230892;25,1471254
24,0781029;10,7791573
22,2041334;11,2404033
-10,9143331;19,2042607
-12,1241216;17,4781016
8,1587478;25,1607615
9,4773413;26,2595790
9,3755077;25,5831782
23,6440709;11,5742665
23,7006435;12,1962587
22,1429584;10,6178849
7,9584388;25,4895004
-10,4028614;18,7713164
-12,4128869;18,3533251
22,8728548;10,5241966
22,0290327;11,1495055
8,5418003;25,8663818
-11,6564781;18,2356642
10,7323967;27,0612816
23,3530423;9,8425656
8,6901297;26,0286829
-11,1683147;19,2060803
-9,5776668;17,5236686
8,4495483;24,5107517
22,0847200;11,2021401
